,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
20," Lambeth, London UK",Coffee Shop,Pub,Park,Café,Brewery,Pizza Place,Market,Italian Restaurant,Portuguese Restaurant,Bar
21," Lewisham, London UK",Pub,Café,Coffee Shop,Park,Indian Restaurant,Italian Restaurant,Gastropub,Turkish Restaurant,Bakery,Bar
22," Merton, London UK",Pub,Park,Sushi Restaurant,Italian Restaurant,Lebanese Restaurant,Coffee Shop,Burger Joint,Bar,Asian Restaurant,Indian Restaurant
23," Newham, London UK",Pub,Hotel,Indian Restaurant,Café,Park,Coffee Shop,Supermarket,Grocery Store,Sandwich Place,Fish & Chips Shop
24," Redbridge, London UK",Grocery Store,Pub,Pizza Place,Indian Restaurant,Hotel,Gym / Fitness Center,Coffee Shop,Park,Playground,Metro Station
25," Richmond upon Thames, London UK",Pub,Park,Café,Italian Restaurant,Garden,Coffee Shop,Hotel,Supermarket,Bakery,Gastropub
26," Southwark, London UK",Pub,Café,Pizza Place,Park,Bar,Italian Restaurant,Gastropub,Coffee Shop,Burger Joint,Indian Restaurant
27," Sutton, London UK",Pub,Grocery Store,Coffee Shop,Park,Clothing Store,Pizza Place,Supermarket,Café,Pharmacy,Sandwich Place
28," Tower Hamlets, London UK",Pub,Coffee Shop,Park,Canal Lock,Gym / Fitness Center,Bar,Café,Beer Bar,Hotel,Farm
29," Waltham Forest, London UK",Pub,Coffee Shop,Supermarket,Café,Sandwich Place,Grocery Store,Turkish Restaurant,Pizza Place,Gym / Fitness Center,Brewery
30," Wandsworth, London UK",Pub,Park,Coffee Shop,Café,Pizza Place,Supermarket,Tennis Stadium,Tennis Court,French Restaurant,Scenic Lookout
31,"Acacia Ridge, Brisbane",Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market,Farm,Falafel Restaurant
32,"Adachi, Tokyo Japan",Convenience Store,Ramen Restaurant,Discount Store,Supermarket,Italian Restaurant,Steakhouse,Café,Fast Food Restaurant,Clothing Store,Drugstore
33,"Addington, Christchurch New Zealand",Café,Sporting Goods Shop,Racetrack,Coffee Shop,Pet Store,Hostel,Fast Food Restaurant,Pizza Place,Theater,Falafel Restaurant
34,"Agripada, Mumbai City India",Bakery,Hostel,Grocery Store,Pool,Athletics & Sports,Coffee Shop,Garden,Fabric Shop,Factory,Falafel Restaurant
35,"Albion, Brisbane",Fast Food Restaurant,Café,Bakery,Sandwich Place,Sushi Restaurant,Train Station,Turkish Restaurant,Indian Restaurant,Comedy Club,Filipino Restaurant
36,"Alderley, Brisbane",Grocery Store,Supermarket,Thai Restaurant,Athletics & Sports,Thrift / Vintage Store,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
37,"Alexandria, Sydney",Café,Furniture / Home Store,Italian Restaurant,Men's Store,Liquor Store,BBQ Joint,Bakery,Seafood Restaurant,Pet Store,Bar
38,"Algester, Brisbane",Bus Station,Chinese Restaurant,Burger Joint,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
39,"Allerton, New York City US",Pizza Place,Supermarket,Chinese Restaurant,Deli / Bodega,Department Store,Bus Station,Fried Chicken Joint,Martial Arts Dojo,Playground,Bike Trail
40,"Altamount Road, Mumbai City India",Café,Diner,Theater,Bookstore,Fast Food Restaurant,Coffee Shop,Park,Concert Hall,Indian Restaurant,Salon / Barbershop
41,"Anand Vihar, New Delhi India",Multiplex,Pizza Place,Hotel,Movie Theater,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
42,"Andingmen, Beijing China",Café,Bar,Hotel,Chinese Restaurant,Coffee Shop,Historic Site,Yunnan Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Japanese Restaurant
43,"Angeles Mesa, Los Angeles US",Playground,Restaurant,Deli / Bodega,Fast Food Restaurant,Wine Bar,Seafood Restaurant,Burger Joint,Eye Doctor,Fabric Shop,Factory
44,"Angelino Heights, Los Angeles US",Taco Place,Jewelry Store,Pizza Place,Motel,Hotel,BBQ Joint,Market,Bakery,Art Gallery,Boxing Gym
45,"Annadale, New York City US",Bakery,Restaurant,Train Station,Pub,Diner,Sports Bar,American Restaurant,Pizza Place,Farmers Market,Film Studio
46,"Annandale, Sydney",Café,Pub,Pizza Place,Park,Liquor Store,Italian Restaurant,Grocery Store,Fried Chicken Joint,Australian Restaurant,Sushi Restaurant
47,"Annerley, Brisbane",Café,Pharmacy,Train Station,Gym / Fitness Center,Sporting Goods Shop,Coffee Shop,Grocery Store,Camera Store,Sandwich Place,Comic Shop
48,"Arakawa, Tokyo Japan",Ramen Restaurant,BBQ Joint,Japanese Restaurant,Sake Bar,Park,Coffee Shop,Hotel,Shopping Mall,Café,Chinese Restaurant
49,"Aranui, Christchurch New Zealand",Park,Fried Chicken Joint,Pharmacy,Sports Club,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
50,"Arch Hill, Auckland City New Zealand",Café,Bar,Thai Restaurant,Chinese Restaurant,Bakery,Burger Joint,Market,Park,Mexican Restaurant,Middle Eastern Restaurant
51,"Archerfield, Brisbane",Furniture / Home Store,Juice Bar,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
52,"Arden Heights, New York City US",Coffee Shop,Pharmacy,Lawyer,Pizza Place,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
53,"Arleta, Los Angeles US",Movie Theater,Historic Site,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
54,"Arlington Heights, Los Angeles US",Liquor Store,Latin American Restaurant,Café,Donut Shop,Restaurant,Dance Studio,Seafood Restaurant,Rental Car Location,Grocery Store,Convenience Store
55,"Arlington, New York City US",Bus Stop,American Restaurant,Deli / Bodega,Boat or Ferry,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
56,"Arrochar, New York City US",Italian Restaurant,Deli / Bodega,Bus Stop,Mediterranean Restaurant,Sandwich Place,Pizza Place,Athletics & Sports,Polish Restaurant,Hotel,Middle Eastern Restaurant
57,"Arts District, Los Angeles US",Coffee Shop,Italian Restaurant,Art Gallery,Beer Garden,Climbing Gym,Smoothie Shop,Clothing Store,Cocktail Bar,Men's Store,Ice Cream Shop
58,"Arverne, New York City US",Surf Spot,Sandwich Place,Metro Station,Playground,Coffee Shop,Donut Shop,Pizza Place,Bus Stop,Thai Restaurant,Wine Shop
59,"Ascot, Brisbane",Pizza Place,Burger Joint,Train Station,Clothing Store,Thai Restaurant,Flea Market,Café,Grocery Store,Breakfast Spot,Bakery
60,"Ashgrove, Brisbane",Café,Supermarket,Farmers Market,Sandwich Place,Fruit & Vegetable Store,Sports Club,Bar,Convenience Store,Thai Restaurant,Pizza Place
61,"Ashok Nagar, New Delhi India",Fast Food Restaurant,Ice Cream Shop,Café,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Zoo Exhibit
62,"Ashok Vihar, New Delhi India",Bakery,Indian Restaurant,Diner,Butcher,Fish Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
63,"Aspley, Brisbane",Supermarket,Department Store,Fast Food Restaurant,Sushi Restaurant,Ice Cream Shop,Pharmacy,Bakery,Electronics Store,Shopping Mall,Gym
64,"Astoria Heights, New York City US",Bakery,Bus Station,Plaza,Playground,Hostel,Pizza Place,Bowling Alley,Supermarket,Italian Restaurant,Burger Joint
65,"Astoria, New York City US",Bar,Middle Eastern Restaurant,Hookah Bar,Greek Restaurant,Deli / Bodega,Seafood Restaurant,Indian Restaurant,Mediterranean Restaurant,Bakery,Pub
66,"Atwater Village, Los Angeles US",Pizza Place,Vietnamese Restaurant,Coffee Shop,Liquor Store,Record Shop,Arts & Crafts Store,Latin American Restaurant,Chinese Restaurant,Hot Dog Joint,Bookstore
67,"Auburndale, New York City US",Pet Store,Korean Restaurant,Fast Food Restaurant,Hookah Bar,Discount Store,Gymnastics Gym,Mobile Phone Shop,Pharmacy,American Restaurant,Miscellaneous Shop
68,"Auchenflower, Brisbane",Restaurant,Café,Basketball Court,Pizza Place,Thai Restaurant,Mexican Restaurant,Football Stadium,Film Studio,Event Space,Exhibit
69,"Auckland CBD, Auckland City New Zealand",Hotel,Café,Japanese Restaurant,Food Court,Bistro,Bagel Shop,Ice Cream Shop,Coffee Shop,Dessert Shop,Italian Restaurant
70,"Avondale, Auckland City New Zealand",Park,Café,Convenience Store,Bed & Breakfast,Fried Chicken Joint,Chinese Restaurant,Bus Station,Fast Food Restaurant,Cosmetics Shop,Beach
71,"Avondale, Christchurch New Zealand",Park,Café,Convenience Store,Bed & Breakfast,Fried Chicken Joint,Chinese Restaurant,Bus Station,Fast Food Restaurant,Cosmetics Shop,Beach
72,"Avonhead, Christchurch New Zealand",Pub,Bookstore,Fish & Chips Shop,Park,Bakery,Fabric Shop,Factory,Falafel Restaurant,Farm,Fish Market
73,"Avonside, Christchurch New Zealand",Café,Construction & Landscaping,Gym,Park,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Zoo Exhibit
74,"Ba Đình, Hanoi Vietnam",Coffee Shop,Café,Massage Studio,Rock Club,Vietnamese Restaurant,Japanese Restaurant,History Museum,Lake,Bistro,Venezuelan Restaurant
75,"Babarpur, New Delhi India",Gift Shop,Park,Electronics Store,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Zoo Exhibit
76,"Badarpur, New Delhi India",ATM,Train Station,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
77,"Bald Hills, Brisbane",Indian Restaurant,Entertainment Service,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
78,"Baldwin Hills/Crenshaw, Los Angeles US",Park,Trail,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
79,"Bali Nagar, New Delhi India",Light Rail Station,Ice Cream Shop,Chinese Restaurant,Pizza Place,Shoe Store,Metro Station,Food Truck,Field,Ethiopian Restaurant,Fraternity House
80,"Balmoral, Auckland City New Zealand",Thai Restaurant,Chinese Restaurant,Park,Asian Restaurant,Coffee Shop,Dumpling Restaurant,Mediterranean Restaurant,Udon Restaurant,Dessert Shop,Convenience Store
81,"Balmoral, Brisbane",Gift Shop,Fish Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Zoo Exhibit
82,"Baluwatar, Kathmandu Nepal",Asian Restaurant,Restaurant,Hotel,Coffee Shop,Café,Italian Restaurant,Bar,Spanish Restaurant,Bakery,Hostel
83,"Bandar Tun Razak, Kuala Lumpur Malaysia",Gas Station,Smoke Shop,Gym / Fitness Center,Accessories Store,Malay Restaurant,Chinese Restaurant,Bakery,Snack Place,Fast Food Restaurant,Convenience Store
84,"Baneshwor, Kathmandu Nepal",Restaurant,Café,Asian Restaurant,Coffee Shop,Hotel,Italian Restaurant,Bar,Historic Site,Bakery,Eastern European Restaurant
85,"Banyo, Brisbane",Café,Mediterranean Restaurant,Train Station,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
86,"Baoshan District, Shanghai China",Coffee Shop,Metro Station,Fast Food Restaurant,Shopping Mall,Hotel,Stadium,Supermarket,Pizza Place,Art Museum,Park
87,"Barakhamba Road, New Delhi India",Indian Restaurant,Historic Site,Tea Room,BBQ Joint,Hotel Bar,Asian Restaurant,Salon / Barbershop,Bar,Gastropub,Food Stand
88,"Barangaroo, Sydney",Café,Hotel,Coffee Shop,Speakeasy,Park,Australian Restaurant,Pub,Italian Restaurant,Bakery,Hotel Bar
89,"Bardon, Brisbane",Gym,Café,Bowling Green,Convenience Store,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
90,"Bath Beach, New York City US",Pharmacy,Sushi Restaurant,Fast Food Restaurant,Italian Restaurant,Gas Station,Pizza Place,Bubble Tea Shop,Chinese Restaurant,Bank,Middle Eastern Restaurant
91,"Battery Park City, New York City US",Park,Hotel,Gym,Memorial Site,Wine Shop,Plaza,Boat or Ferry,Coffee Shop,Burger Joint,Shopping Mall
92,"Batu, Kuala Lumpur Malaysia",Malay Restaurant,Chinese Restaurant,Asian Restaurant,Food Truck,Seafood Restaurant,Flea Market,Nightclub,Food Court,Thai Restaurant,BBQ Joint
93,"Bawana, New Delhi India",Playground,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
94,"Bay Ridge, New York City US",Italian Restaurant,Spa,Pizza Place,Grocery Store,Bar,Greek Restaurant,Chinese Restaurant,American Restaurant,Cosmetics Shop,Hookah Bar
95,"Bay Terrace, New York City US",Clothing Store,Supermarket,Donut Shop,Women's Store,Kids Store,Shoe Store,American Restaurant,Cosmetics Shop,Lingerie Store,Mobile Phone Shop
96,"Baychester, New York City US",Discount Store,Donut Shop,Bank,Men's Store,Baseball Field,Pet Store,Mattress Store,Electronics Store,Fast Food Restaurant,Pizza Place
97,"Bayside, New York City US",Bar,Pub,American Restaurant,Sushi Restaurant,Indian Restaurant,Pizza Place,Mexican Restaurant,Greek Restaurant,Bakery,Donut Shop
98,"Bayswater, New York City US",Construction & Landscaping,Park,Playground,Falafel Restaurant,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
99,"Beachwood Canyon, Los Angeles US",Trail,Gym / Fitness Center,Café,Speakeasy,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
100,"Beaconsfield, Sydney",Café,Bakery,Coffee Shop,Italian Restaurant,Electronics Store,Furniture / Home Store,Sporting Goods Shop,Australian Restaurant,Rental Car Location,Gym
101,"Beckenham, Christchurch New Zealand",Park,Restaurant,Bar,Coffee Shop,Italian Restaurant,Burger Joint,Vietnamese Restaurant,Sushi Restaurant,Trail,Sports Bar
102,"Bedford Park, New York City US",Pizza Place,Diner,Chinese Restaurant,Deli / Bodega,Mexican Restaurant,Supermarket,Fried Chicken Joint,Food Truck,Spanish Restaurant,Sandwich Place
103,"Bedford Stuyvesant, New York City US",Coffee Shop,Café,Bar,Pizza Place,Japanese Restaurant,Tiki Bar,Cocktail Bar,Bagel Shop,Basketball Court,Park
104,"Beechhurst, New York City US",Chinese Restaurant,Deli / Bodega,Shopping Mall,Pizza Place,Gym / Fitness Center,Boutique,Donut Shop,Optical Shop,Dessert Shop,Supermarket
105,"Beijing CBD, Beijing China",Hotel,Café,Chinese Restaurant,Coffee Shop,Hotel Bar,Cocktail Bar,Restaurant,Sushi Restaurant,Lounge,Gym / Fitness Center
106,"Beixinqiao Subdistrict, Beijing China",Chinese Restaurant,Hotel,Fast Food Restaurant,Coffee Shop,Japanese Restaurant,Russian Restaurant,Shopping Mall,Theater,Grocery Store,Cocktail Bar
107,"Bel Air, Los Angeles US",Dive Bar,Ethiopian Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
108,"Belfast, Christchurch New Zealand",Fast Food Restaurant,Park,Diner,Athletics & Sports,Field,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Zoo Exhibit
109,"Bellaire, New York City US",Chinese Restaurant,Breakfast Spot,IT Services,Moving Target,Gym,Coffee Shop,Convenience Store,Laundromat,Bus Station,Italian Restaurant
110,"Bellbowrie, Brisbane",Shopping Mall,Office,Gym,Fast Food Restaurant,Supermarket,Bus Station,Café,Pizza Place,Zoo Exhibit,Filipino Restaurant
111,"Belle Harbor, New York City US",Beach,Deli / Bodega,Spa,Pub,Mexican Restaurant,Chinese Restaurant,Pharmacy,Italian Restaurant,Bakery,Bagel Shop
112,"Bellerose, New York City US",Pizza Place,Italian Restaurant,Flower Shop,Pub,Diner,Motel,American Restaurant,Wine Shop,Donut Shop,Deli / Bodega
113,"Belmont, Brisbane",Grocery Store,Pub,Shopping Mall,Bakery,Fountain,Falafel Restaurant,Filipino Restaurant,Field,Fast Food Restaurant,French Restaurant
114,"Belmont, New York City US",Italian Restaurant,Pizza Place,Deli / Bodega,Bakery,Bank,Grocery Store,Dessert Shop,Donut Shop,Shoe Store,Mexican Restaurant
115,"Benedict Canyon, Los Angeles US",Park,Zoo Exhibit,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
116,"Bensonhurst, New York City US",Chinese Restaurant,Donut Shop,Italian Restaurant,Sushi Restaurant,Ice Cream Shop,Grocery Store,Park,Bar,Pizza Place,Shabu-Shabu Restaurant
117,"Bergen Beach, New York City US",Harbor / Marina,Playground,Baseball Field,Donut Shop,Athletics & Sports,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
118,"Beverly Crest, Los Angeles US",Playground,Convenience Store,Falafel Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
119,"Beverly Glen, Los Angeles US",Business Service,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
120,"Beverly Grove, Los Angeles US",French Restaurant,Café,Mexican Restaurant,Seafood Restaurant,Hotel,Cosmetics Shop,Chinese Restaurant,Men's Store,Gym,Pet Store
121,"Beverly Park, Los Angeles US",Art Gallery,Park,Bubble Tea Shop,Supermarket,Breakfast Spot,Thai Restaurant,Grocery Store,Caribbean Restaurant,Gym / Fitness Center,Filipino Restaurant
122,"Beverlywood, Los Angeles US",Park,Zoo Exhibit,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
123,"Bexley, Christchurch New Zealand",Fish & Chips Shop,Café,Thai Restaurant,Hotel,Sandwich Place,Zoo Exhibit,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
124,"Bhuleshwar, Mumbai City India",Indian Restaurant,Fast Food Restaurant,Arcade,Food,Bus Station,Ice Cream Shop,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
125,"Bishopdale, Christchurch New Zealand",Pizza Place,Café,Pharmacy,Convenience Store,Bakery,Park,Grocery Store,Thai Restaurant,Gas Station,Pet Store
126,"Blackpool, Auckland City New Zealand",Café,Beach,Bar,Convenience Store,Seafood Restaurant,Fish & Chips Shop,Hostel,Pizza Place,Art Gallery,Ice Cream Shop
127,"Blissville, New York City US",Donut Shop,Deli / Bodega,Clothing Store,Cafeteria,Skating Rink,Bar,Mattress Store,Movie Theater,Hotel,Art Gallery
128,"Blockhouse Bay, Auckland City New Zealand",Café,Mediterranean Restaurant,Ice Cream Shop,Video Store,Park,Neighborhood,Grocery Store,Zoo Exhibit,Fast Food Restaurant,Film Studio
129,"Bloomfield, New York City US",Bus Stop,Theme Park,Discount Store,Park,Recreation Center,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
130,"Boerum Hill, New York City US",Coffee Shop,Bar,Dance Studio,Sandwich Place,Spa,Bakery,Arts & Crafts Store,French Restaurant,Furniture / Home Store,Grocery Store
131,"Boondall, Brisbane",Bakery,Bus Station,Grocery Store,Liquor Store,Pizza Place,Seafood Restaurant,Pie Shop,Chinese Restaurant,Eye Doctor,Exhibit
132,"Borough Park, New York City US",Bank,Pizza Place,Pharmacy,Restaurant,Coffee Shop,Fast Food Restaurant,Hotel,Hostel,Café,American Restaurant
133,"Bottle Lake, Christchurch New Zealand",Golf Course,Café,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
134,"Bowen Hills, Brisbane",Coffee Shop,Café,Gym,Japanese Restaurant,Sandwich Place,Burger Joint,Brewery,Furniture / Home Store,Bistro,Theater
135,"Boyle Heights, Los Angeles US",Grocery Store,Fast Food Restaurant,Bakery,Mexican Restaurant,Department Store,ATM,Donut Shop,Pharmacy,Burger Joint,Southern / Soul Food Restaurant
136,"Bracken Ridge, Brisbane",Pub,Coffee Shop,Grocery Store,Seafood Restaurant,Exhibit,Eye Doctor,Fabric Shop,Factory,Falafel Restaurant,Fish & Chips Shop
137,"Breach Candy, Mumbai City India",Bakery,Bar,Indian Restaurant,Chinese Restaurant,Gym / Fitness Center,Park,Theater,Pizza Place,Donut Shop,Lounge
138,"Breezy Point, New York City US",Monument / Landmark,Supermarket,Trail,Beach,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
139,"Brentwood Circle, Los Angeles US",Italian Restaurant,Clothing Store,Grocery Store,Salon / Barbershop,Park,Coffee Shop,Historic Site,Café,Spa,Gym / Fitness Center
140,"Brentwood, Los Angeles US",Italian Restaurant,Clothing Store,Grocery Store,Salon / Barbershop,Park,Coffee Shop,Historic Site,Café,Spa,Gym / Fitness Center
141,"Briarwood, New York City US",Deli / Bodega,Fast Food Restaurant,Mexican Restaurant,Arts & Crafts Store,Gym,Bus Station,Convenience Store,Indian Restaurant,Playground,Coffee Shop
142,"Bridgeman Downs, Brisbane",Park,Zoo Exhibit,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
143,"Brighton Beach, New York City US",Restaurant,Beach,Russian Restaurant,Eastern European Restaurant,Neighborhood,Bank,Mobile Phone Shop,Gourmet Shop,Sushi Restaurant,Mediterranean Restaurant
144,"Brighton, Brisbane",Thrift / Vintage Store,Ethiopian Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
145,"Brisbane Airport (suburb), Brisbane",Airport,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
146,"Brisbane CBD, Brisbane",Café,Bar,Coffee Shop,Japanese Restaurant,Hotel,Restaurant,Sushi Restaurant,Brazilian Restaurant,Bakery,Burger Joint
147,"Broad Channel, New York City US",Other Nightlife,Dive Bar,Sporting Goods Shop,Deli / Bodega,Pizza Place,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
148,"Broadway Junction, New York City US",Donut Shop,Diner,Fried Chicken Joint,Gas Station,Caribbean Restaurant,Seafood Restaurant,Ice Cream Shop,Pizza Place,Sandwich Place,Bakery
149,"Broadway-Manchester, Los Angeles US",Liquor Store,Gym,Motel,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
150,"Bromley, Christchurch New Zealand",Hostel,Sports Bar,RV Park,Home Service,Department Store,Falafel Restaurant,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
151,"Bronxdale, New York City US",Mexican Restaurant,Performing Arts Venue,Paper / Office Supplies Store,Park,Gym,Pizza Place,Eastern European Restaurant,Breakfast Spot,Convenience Store,Supermarket
152,"Brookfield, Brisbane",Market,Tennis Court,Café,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Zoo Exhibit
153,"Brooklands, Christchurch New Zealand",River,Moving Target,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
154,"Brooklyn Heights, New York City US",Park,Deli / Bodega,Yoga Studio,Pizza Place,Gym,Bakery,Italian Restaurant,Mexican Restaurant,Gym / Fitness Center,Asian Restaurant
155,"Brookside, Los Angeles US",Museum,Shopping Mall,Music Venue,History Museum,Sculpture Garden,Udon Restaurant,Candy Store,Bookstore,Coffee Shop,Speakeasy
